,length,order,sorting_method,comparisons,replacements,milliseconds
130,2000,repeating,quicksort3,46521,33641,9
131,2000,repeating,quicksort5,25528,6276,3
132,2000,repeating,quicksort1,27331,5213,3
133,2000,repeating,quicksort4,25563,5214,4
134,2000,repeating,mergesort,2012,22000,4
135,2000,repeating,natural_mergesort,706,835889,163
136,250,repeating,quicksort2,2866,2101,1
137,250,repeating,quicksort3,4628,4161,1
138,250,repeating,quicksort5,1887,628,0
139,250,repeating,quicksort1,2067,475,0
140,250,repeating,quicksort4,2061,478,1
141,250,repeating,mergesort,259,2000,1
142,250,repeating,natural_mergesort,91,13419,2
143,50,repeating,quicksort2,549,549,0
144,50,repeating,quicksort3,549,549,0
145,50,repeating,quicksort5,253,89,0
146,50,repeating,quicksort1,287,66,0
147,50,repeating,quicksort4,266,67,0
148,50,repeating,mergesort,58,300,0
149,50,repeating,natural_mergesort,16,607,0
150,500,repeating,quicksort2,6321,3886,1
151,500,repeating,quicksort3,10163,8261,2
152,500,repeating,quicksort5,4787,1302,0
153,500,repeating,quicksort1,5280,1080,0
154,500,repeating,quicksort4,4870,1081,1
155,500,repeating,mergesort,510,4500,1
156,500,repeating,natural_mergesort,191,52209,10
157,5000,repeating,quicksort2,94700,47510,15
158,5000,repeating,quicksort3,130504,88801,25
159,5000,repeating,quicksort5,75723,17022,10
160,5000,repeating,quicksort1,80112,14315,10
161,5000,repeating,quicksort4,78519,14071,9
162,5000,repeating,mergesort,5018,65000,16
163,5000,repeating,natural_mergesort,1911,5251372,1131
164,100,reverse,quicksort2,5000,1275,1
165,100,reverse,quicksort3,4950,4950,1
166,100,reverse,quicksort5,5040,135,1
167,100,reverse,quicksort1,5049,99,0
168,100,reverse,quicksort4,2548,148,0
169,100,reverse,mergesort,109,700,0
170,100,reverse,natural_mergesort,99,100,0
171,1000,reverse,quicksort2,500450,2175,35
172,1000,reverse,quicksort3,500400,5850,35
173,1000,reverse,quicksort5,500490,1035,35
174,1000,reverse,quicksort1,500499,999,38
175,1000,reverse,quicksort4,250498,1498,19
176,1000,reverse,mergesort,1011,10000,2
177,1000,reverse,natural_mergesort,999,1000,1
178,10000,reverse,quicksort2,50004950,11175,3961
